Nseries	Time	Timestd	Acc	Accstd	F1	F1std	F1LO	F1LOstd
34	9.151113820075988	0.8671105666347615	65.0	0.0	0.43478260869565216	0.0	0.42924853541473906	0.030462459186877046
35	6.520382881164551	0.1301464792880499	74.0	0.0	0.4126984126984127	0.0	0.4383120124641825	0.021857320596310816
36	9.917748475074768	0.5016713410470902	60.0	0.0	0.4444444444444445	5.551115123125783e-17	0.4256278723991122	0.03236755515507144
37	15.91575722694397	2.664796289307163	61.0	0.0	0.46017699115044247	0.0	0.43442625667783197	0.02416439858142381
38	15.885633277893067	2.7586803335648495	58.0	0.0	0.46296296296296297	0.0	0.4387020994296308	0.03920399767111348
39	18.91748526096344	1.9767448630768545	58.0	0.0	0.46296296296296297	0.0	0.43394821567788594	0.0284551153955404
40	22.353618764877318	7.680419368882292	60.0	0.0	0.4642857142857143	0.0	0.4452051158390871	0.025422959945182108
41	14.341076397895813	2.29076436309566	64.0	0.0	0.4385964912280701	5.551115123125783e-17	0.4426999935519783	0.014845874988095111
42	13.622370648384095	1.587330463770966	60.0	0.0	0.4642857142857143	0.0	0.41639749751457533	0.031159202825084893
43	20.82956154346466	12.610724161520173	59.0	0.0	0.4587155963302753	5.551115123125783e-17	0.4379051764256296	0.022559703029857745
44	6.316122436523438	0.4721951123791552	95.0	0.0	0.3708609271523179	0.0	0.42477037492179714	0.022332112701828437
45	13.043473410606385	2.2413290622738593	67.0	0.0	0.4462809917355372	0.0	0.4299027321026564	0.022798898426481085
46	24.101263165473938	5.641785184682883	60.0	0.0	0.4642857142857143	0.0	0.4424910277651447	0.023851334997095523
47	17.914401149749757	3.1584475476738105	67.0	0.0	0.42735042735042733	0.0	0.4298347650494211	0.03876972116655138
48	37.21830830574036	15.39112774048399	67.0	0.0	0.43697478991596644	5.551115123125783e-17	0.4358000836478858	0.01839057526749694
49	32.950660943984985	2.2430377433903317	63.0	0.0	0.44247787610619477	5.551115123125783e-17	0.4294509604614647	0.02776367913507492
50	37.64520163536072	10.9223410320388	60.0	0.0	0.4642857142857143	0.0	0.4406638298820068	0.030125053748051474
51	42.23866991996765	4.493544368011723	58.0	0.0	0.46296296296296297	0.0	0.4457599211357436	0.01717827673870108
52	37.83417458534241	21.781930816240028	64.0	0.0	0.45762711864406774	5.551115123125783e-17	0.43142086218409703	0.03239196610335827
53	21.333981657028197	1.3753105548443227	64.0	0.0	0.45762711864406774	5.551115123125783e-17	0.43118711520551295	0.03299732343715887
54	20.677550888061525	1.2435935162839142	65.0	0.0	0.453781512605042	0.0	0.45535505914188645	0.014849324555395603
55	24.14270963668823	1.0368312496019405	59.0	0.0	0.48695652173913045	0.0	0.44302038757931966	0.03517776518439109
56	28.901285099983216	1.3304482888806577	65.0	0.0	0.4444444444444445	5.551115123125783e-17	0.43272744053022344	0.03820658794661526
57	25.581658124923706	0.6846482413032354	68.0	0.0	0.4333333333333334	5.551115123125783e-17	0.44879987613252703	0.015152750547182646
58	20.494634175300597	0.9259122097006522	85.0	0.0	0.3884892086330936	5.551115123125783e-17	0.4627214022380796	0.015417523638273636
59	25.632873749732973	1.124305167750146	59.0	0.0	0.4684684684684684	5.551115123125783e-17	0.44336171403338287	0.034361127967898544
60	17.27275037765503	1.1507706789329246	89.0	0.0	0.3945578231292517	0.0	0.4460167101511229	0.020696970439375125
61	15.968570899963378	0.9208107745363667	96.0	0.0	0.3924050632911392	0.0	0.4357364090728096	0.0315522378406605
62	13.721927046775818	0.6915668547173204	100.0	0.0	0.375	0.0	0.45793208866502033	0.02484988485573529
63	18.799099850654603	0.641066836353313	88.0	0.0	0.38028169014084506	0.0	0.44540221005769565	0.027818812261905412
64	42.26072509288788	11.655293498925909	65.0	0.0	0.4444444444444445	5.551115123125783e-17	0.42840962987402254	0.038353848327145994
65	44.680985713005064	9.028291895898139	69.0	0.0	0.42016806722689076	0.0	0.4380856041059844	0.03485412855402434
66	43.07019612789154	7.272395462225504	59.0	0.0	0.4684684684684684	5.551115123125783e-17	0.4475588264551148	0.026608215070217874
67	42.13674292564392	6.7459600321645485	65.0	0.0	0.4444444444444445	5.551115123125783e-17	0.4451289430269715	0.032146179196272925
68	43.759751081466675	6.3636227634942815	61.0	0.0	0.46017699115044247	0.0	0.43644978010005475	0.022864308749182407
