Nseries	Time	Timestd	Acc	Accstd	F1	F1std	F1LO	F1LOstd
20	24.365208911895753	1.8413998125235123	54.0	0.0	0.44897959183673464	5.551115123125783e-17	0.4533189431661449	0.012790598168110838
21	22.14733283519745	4.084627986122583	56.0	0.0	0.42857142857142855	0.0	0.43667442095284337	0.025519762727149262
22	20.688754272460937	2.120020693475923	55.0	0.0	0.4444444444444445	5.551115123125783e-17	0.4499051002888869	0.02172898553518383
23	15.137371683120728	1.314391733746161	54.0	0.0	0.4375	0.0	0.4371741034255033	0.024250868833847316
24	24.078982949256897	2.3995130091987544	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.4465479950434671	0.010820621229726747
25	22.132771611213684	1.5687844075213495	53.0	0.0	0.44210526315789467	5.551115123125783e-17	0.45722621519406825	0.014935881983888122
26	19.39966995716095	3.2669632414727916	49.0	0.0	0.4731182795698924	1.1102230246251565e-16	0.4584420267248294	0.02740232538939997
27	13.20052945613861	0.8354215606854115	53.0	0.0	0.4536082474226804	0.0	0.45431203997398156	0.01418622922848034
28	17.324138498306276	2.291294793772501	51.0	0.0	0.46315789473684205	5.551115123125783e-17	0.4472620571713503	0.013764147221826874
29	20.37799792289734	3.2825347268417406	50.0	0.0	0.46808510638297884	1.1102230246251565e-16	0.4553250368647994	0.018844370408742976
30	17.123966407775878	2.5728819384309394	52.0	0.0	0.4583333333333333	0.0	0.4318241781988778	0.009101343961411606
31	23.58350236415863	8.806159275095135	54.0	0.0	0.4375	0.0	0.440887280595163	0.017233416851109327
32	25.238925075531007	2.6220223917042933	52.0	0.0	0.44680851063829785	0.0	0.44005342786308954	0.008519330668673228
33	22.596289443969727	1.8435680161549735	54.0	0.0	0.4375	0.0	0.4434077674719811	0.020580192311464664
34	23.377856063842774	3.171703178439104	54.0	0.0	0.4375	0.0	0.43540467713231157	0.025756770374983633
35	20.576310205459595	2.431065054598708	54.0	0.0	0.4375	0.0	0.4383832285538717	0.009639392387990187
36	18.108599066734314	2.105730345058607	55.0	0.0	0.4444444444444445	5.551115123125783e-17	0.43944628538700703	0.016588706715980502
37	20.94497139453888	2.0628534230281996	55.0	0.0	0.4444444444444445	5.551115123125783e-17	0.4393866585339146	0.010994285977617065
38	24.686307096481322	4.302081804505053	54.0	0.0	0.44897959183673464	5.551115123125783e-17	0.4339684027365497	0.016283541733583654
39	25.962619638442995	3.085682377165916	54.0	0.0	0.44897959183673464	5.551115123125783e-17	0.4285809719740409	0.01838168690979899
40	22.233735609054566	2.7746458919325065	54.0	0.0	0.44897959183673464	5.551115123125783e-17	0.43579800927224516	0.019733615009732735
41	22.59609451293945	6.3847720077649965	54.0	0.0	0.44897959183673464	5.551115123125783e-17	0.44158849327467653	0.009012566394377279
42	6.616526317596436	0.6824207642584669	72.0	0.0	0.4375	0.0	0.44789227856090885	0.007556464159599378
43	21.221587419509888	2.2796814016777116	54.0	0.0	0.44897959183673464	5.551115123125783e-17	0.44302940248264255	0.012218279179247336
44	19.26151225566864	1.2011019792329787	51.0	0.0	0.46315789473684205	5.551115123125783e-17	0.4476852196530244	0.014967725810320152
45	19.35866060256958	1.438565786925158	51.0	0.0	0.46315789473684205	5.551115123125783e-17	0.4498140186622669	0.011702166716472671
46	21.729352116584778	1.8144991045036338	52.0	0.0	0.4583333333333333	0.0	0.43677679433121464	0.03542957159161141
47	6.530180668830871	0.4288199212130548	95.0	0.0	0.3708609271523179	0.0	0.4480053186555633	0.011542071931939093
48	27.83516490459442	3.4186247692303633	52.0	0.0	0.4583333333333333	0.0	0.4404525002899232	0.028308218659589126
49	28.34273030757904	4.003752255040895	52.0	0.0	0.4583333333333333	0.0	0.4493108780014553	0.012605850050179926
50	27.787576246261597	4.219910623805949	52.0	0.0	0.4583333333333333	0.0	0.4544106334290861	0.01201194194880838
51	57.96973221302032	32.3321684683982	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.44326242509005953	0.009843160953747744
52	31.358860468864442	3.6846205547237028	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.4448872328369923	0.01792676838502405
53	30.184196448326112	5.979809062605463	52.0	0.0	0.44680851063829785	0.0	0.4482456441377981	0.00851748321602149
54	6.37150809764862	0.32156314175535966	90.0	0.0	0.36619718309859156	0.0	0.43862613487218394	0.03189942401145184
55	30.844998526573182	2.9481404512087055	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.45037532059386615	0.005268894621709266
56	27.202792716026305	1.300006653439829	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.4446078281683879	0.014686047816602536
57	34.47312452793121	7.013180362364263	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.45348658492341076	0.008174450370099999
58	30.335368943214416	2.181425177911302	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.4469564285877146	0.021935405686112363
59	32.755082201957705	1.789520392056737	52.0	0.0	0.44680851063829785	0.0	0.45018202978126576	0.00309760285277637
60	35.63738181591034	1.6330705952348095	52.0	0.0	0.44680851063829785	0.0	0.43967529986071463	0.018639065646796446
61	30.644098353385925	1.7613416531058428	51.0	0.0	0.4516129032258064	5.551115123125783e-17	0.4435991673764188	0.02317542676276356
62	38.163250994682315	4.3475776201900205	52.0	0.0	0.44680851063829785	0.0	0.44567240293446453	0.007902774051366952
63	39.00027236938477	3.864836252765432	52.0	0.0	0.44680851063829785	0.0	0.4478405342943165	0.005958999140057451
64	13.701230120658874	2.9923110958201735	70.0	0.0	0.42622950819672123	5.551115123125783e-17	0.4454775310211872	0.006342223962736296
